"postcode","postcode_space","postcode.area","Average.download.speed..Mbit.s.","Maximum.download.speed..Mbit.s.","Minimum.download.speed..Mbit.s.","Average.upload.speed..Mbit.s.","Maximum.upload.speed..Mbit.s.","Minimum.upload.speed..Mbit.s.","Average.data.usage..GB.","All.Premises","All.Matched.Premises","lsoa_area","county"
"PL101BL","PL10 1BL","PL",2.90142159408275,3.06805293513362,2.72785282839839,0.741937344729377,0.832909122935104,0.587786664902119,4.88280192258637,1.79175946922805,1.79175946922805,"Cornwall 034A","Cornwall"
"PL101BW","PL10 1BW","PL",3.43720781918519,4.39444915467244,2.12823170584927,1.66770682055808,3.04452243772342,0.470003629245736,5.27299955856375,3.55534806148941,3.55534806148941,"Cornwall 034A","Cornwall"
"PL101BY","PL10 1BY","PL",3.80220813942094,4.39444915467244,2.58021682959233,2.37954613413017,3.04452243772342,0.587786664902119,5.04985600724954,3.49650756146648,3.49650756146648,"Cornwall 034A","Cornwall"
"PL101BZ","PL10 1BZ","PL",2.89591193827178,3.3357695763397,1.19392246847243,1.09861228866811,2.14006616349627,0.405465108108164,5.03043792139244,3.61091791264422,3.61091791264422,"Cornwall 034A","Cornwall"
"PL101DA","PL10 1DA","PL",3.94545778151438,4.39444915467244,3.10009228887823,2.59525470695687,3.04452243772342,0.78845736036427,5.55295958492162,3.49650756146648,3.49650756146648,"Cornwall 034A","Cornwall"
"PL101DB","PL10 1DB","PL",3.78418963391826,4.3528552573736,2.99573227355399,2.33214389523559,3.04452243772342,0.693147180559945,4.82028156560504,2.94443897916644,2.94443897916644,"Cornwall 034A","Cornwall"
"PL101DD","PL10 1DD","PL",3.44361809754611,3.93573953204546,2.95491027903374,1.48160454092422,2.21920348405499,0.693147180559945,4.91265488573605,2.83321334405622,2.83321334405622,"Cornwall 034A","Cornwall"
"PL101DE","PL10 1DE","PL",3.92986292355648,4.39444915467244,2.86220088092947,2.55722731136763,3.04452243772342,0.53062825106217,5.66642668811243,2.39789527279837,2.39789527279837,"Cornwall 034A","Cornwall"
"PL101DH","PL10 1DH","PL",3.71113006304876,4.39444915467244,1.19392246847243,2.27212588550934,3.04452243772342,0.587786664902119,5.26785815906333,3.73766961828337,3.73766961828337,"Cornwall 034A","Cornwall"
"PL101DJ","PL10 1DJ","PL",3.57794789340665,4.26689632742025,2.80336038090653,2.12823170584927,3.04452243772342,0.693147180559945,4.34380542185368,1.79175946922805,1.79175946922805,"Cornwall 034A","Cornwall"
"PL101DL","PL10 1DL","PL",3.57234563785798,4.39444915467244,1.09861228866811,2.24070968927596,3.04452243772342,0.693147180559945,4.69134788222914,2.83321334405622,2.83321334405622,"Cornwall 034A","Cornwall"
"PL101DN","PL10 1DN","PL",3.54673968695281,3.93769075217672,2.96010509591084,1.7227665977411,2.39789527279837,0.693147180559945,3.36729582998647,2.70805020110221,2.70805020110221,"Cornwall 034A","Cornwall"
"PL101DP","PL10 1DP","PL",3.8458832029236,4.31615389052317,3.2188758248682,2.36085400111802,3.04452243772342,0.78845736036427,5.78382518232974,2.30258509299405,2.30258509299405,"Cornwall 034A","Cornwall"
"PL101DS","PL10 1DS","PL",3.70130197411249,4.30135873160643,3.02529107579554,2.17475172148416,3.04452243772342,0.741937344729377,3.85014760171006,2.63905732961526,2.63905732961526,"Cornwall 034A","Cornwall"
"PL101DT","PL10 1DT","PL",3.4307561839037,4.11087386417331,2.83907846350861,1.87180217690159,2.56494935746154,0.741937344729377,4.00733318523247,2.19722457733622,2.19722457733622,"Cornwall 034A","Cornwall"
"PL101DX","PL10 1DX","PL",3.54095932403731,4.39444915467244,2.16332302566054,2.02814824729229,3.04452243772342,0.336472236621213,5.0998664278242,2.77258872223978,2.77258872223978,"Cornwall 034A","Cornwall"
"PL101DY","PL10 1DY","PL",3.11351530921037,3.18221184049661,3.05870707271538,0.741937344729377,0.78845736036427,0.693147180559945,4.7361984483945,2.07944154167984,2.07944154167984,"Cornwall 034A","Cornwall"
"PL101EA","PL10 1EA","PL",3.6609942506244,4.39444915467244,2.2082744135228,2.29253475714054,3.04452243772342,0.693147180559945,5.11198778835654,2.30258509299405,2.30258509299405,"Cornwall 034A","Cornwall"
"PL101EB","PL10 1EB","PL",3.66867674679642,4.31748811353631,2.94443897916644,2.14006616349627,3.04452243772342,0.741937344729377,5.24174701505964,2.30258509299405,2.30258509299405,"Cornwall 034A","Cornwall"
"PL101ED","PL10 1ED","PL",2.94443897916644,3.11351530921037,2.64617479738412,0.78845736036427,0.832909122935104,0.641853886172395,4.92725368515721,2.19722457733622,2.19722457733622,"Cornwall 034A","Cornwall"
"PL101EE","PL10 1EE","PL",2.83907846350861,3.13983261752775,2.02814824729229,0.78845736036427,0.832909122935104,0.741937344729377,5.06259503302697,3.04452243772342,3.04452243772342,"Cornwall 034A","Cornwall"
"PL101EF","PL10 1EF","PL",3.16124671203156,4.02535169073515,2.43361335540045,1.25276296849537,2.39789527279837,0.78845736036427,4.88280192258637,2.19722457733622,2.19722457733622,"Cornwall 034A","Cornwall"
"PL101EG","PL10 1EG","PL",3.37073817417745,3.99083418585244,2.90142159408275,1.62924053973028,3.00568260440716,0.693147180559945,4.48863636973214,2.56494935746154,2.56494935746154,"Cornwall 034A","Cornwall"
"PL101EH","PL10 1EH","PL",2.90690105984738,3.09557760852371,2.57261223020711,0.78845736036427,0.78845736036427,0.693147180559945,4.51085950651685,2.19722457733622,2.19722457733622,"Cornwall 034A","Cornwall"
"PL101EJ","PL10 1EJ","PL",2.94968833505258,3.07269331469012,2.54944517092557,0.78845736036427,0.832909122935104,0.741937344729377,5.3890717298165,2.83321334405622,2.83321334405622,"Cornwall 034A","Cornwall"
"PL101EN","PL10 1EN","PL",2.82731362192903,4.02535169073515,2.24070968927596,1.02961941718116,2.39789527279837,0.693147180559945,4.60517018598809,2.63905732961526,2.63905732961526,"Cornwall 034A","Cornwall"
"PL101EP","PL10 1EP","PL",2.76631910922619,3.09557760852371,2.19722457733622,0.693147180559945,0.832909122935104,0.336472236621213,5.80814248998044,2.83321334405622,2.83321334405622,"Cornwall 034A","Cornwall"
"PL101ER","PL10 1ER","PL",2.72129542785223,2.94968833505258,2.35137525716348,0.741937344729377,0.78845736036427,0.741937344729377,5.23644196282995,1.94591014905531,1.94591014905531,"Cornwall 034A","Cornwall"
"PL101ES","PL10 1ES","PL",2.56494935746154,2.92852352386054,1.50407739677627,0.741937344729377,0.78845736036427,0.641853886172395,5.44241771052179,2.94443897916644,2.94443897916644,"Cornwall 034A","Cornwall"
"PL101ET","PL10 1ET","PL",2.80336038090653,2.91777073208428,2.61739583283408,0.78845736036427,0.78845736036427,0.741937344729377,5.95324333428778,2.56494935746154,2.56494935746154,"Cornwall 034A","Cornwall"
"PL101EX","PL10 1EX","PL",2.75366071235426,2.86220088092947,2.57261223020711,0.78845736036427,0.78845736036427,0.741937344729377,5.25749537202778,1.94591014905531,1.94591014905531,"Cornwall 034A","Cornwall"
"PL101FD","PL10 1FD","PL",4.16511363311031,4.39444915467244,2.72785282839839,2.79728133483015,3.04452243772342,0.182321556793955,4.78749174278205,2.19722457733622,2.19722457733622,"Cornwall 034A","Cornwall"
"PL101FE","PL10 1FE","PL",2.84490938381941,3.10009228887823,2.37024374146786,0.741937344729377,0.78845736036427,0.587786664902119,5.76519110278484,3.04452243772342,3.04452243772342,"Cornwall 034A","Cornwall"
"PL101GA","PL10 1GA","PL",2.68784749378469,2.9391619220656,2.32238772029023,0.741937344729377,0.78845736036427,0.641853886172395,5.68697535633982,2.19722457733622,2.19722457733622,"Cornwall 034A","Cornwall"
"PL101HD","PL10 1HD","PL",2.2082744135228,2.41591377830105,1.98787434815435,0.741937344729377,0.78845736036427,0.693147180559945,4.30406509320417,1.94591014905531,1.94591014905531,"Cornwall 034A","Cornwall"
"PL101HF","PL10 1HF","PL",2.77258872223978,3.10009228887823,2.05412373369555,0.741937344729377,0.78845736036427,0.693147180559945,4.27666611901606,2.94443897916644,2.94443897916644,"Cornwall 034A","Cornwall"
"PL101HG","PL10 1HG","PL",2.47653840011748,2.89591193827178,2.07944154167984,0.741937344729377,0.78845736036427,0.693147180559945,4.45434729625351,2.56494935746154,2.56494935746154,"Cornwall 034A","Cornwall"
"PL101HH","PL10 1HH","PL",2.50143595173921,2.79116510781272,1.97408102602201,0.693147180559945,0.78845736036427,0.587786664902119,3.91202300542815,2.39789527279837,2.39789527279837,"Cornwall 034A","Cornwall"
"PL101HJ","PL10 1HJ","PL",2.89037175789616,3.10458667846607,1.90210752639692,0.741937344729377,0.78845736036427,0.587786664902119,4.04305126783455,2.07944154167984,2.07944154167984,"Cornwall 034A","Cornwall"
"PL101HL","PL10 1HL","PL",2.92852352386054,3.93769075217672,2.56494935746154,0.832909122935104,1.94591014905531,0.336472236621213,5.33753807970132,3.49650756146648,3.49650756146648,"Cornwall 034A","Cornwall"
"PL101HR","PL10 1HR","PL",3.03013370027132,3.23867845216438,2.76631910922619,0.470003629245736,0.470003629245736,0.470003629245736,4.14313472639153,1.79175946922805,1.79175946922805,"Cornwall 034B","Cornwall"
"PL101HS","PL10 1HS","PL",3.48737507790321,3.94158180766969,2.35137525716348,2.09186406167839,2.39789527279837,0.78845736036427,4.06044301054642,2.07944154167984,2.07944154167984,"Cornwall 034B","Cornwall"
"PL101HX","PL10 1HX","PL",2.70805020110221,3.08190996979504,1.7404661748405,1.50407739677627,2.00148000021012,0.336472236621213,5.23110861685459,2.99573227355399,2.99573227355399,"Cornwall 034B","Cornwall"
"PL101HZ","PL10 1HZ","PL",3.37758751602302,3.98527346716774,2.21920348405499,1.94591014905531,2.39789527279837,0.693147180559945,4.34380542185368,2.39789527279837,2.39789527279837,"Cornwall 034B","Cornwall"
"PL101JB","PL10 1JB","PL",3.20274644293832,4.3907385752759,0.916290731874155,1.79175946922805,3.04452243772342,0.336472236621213,4.98360662170834,3.04452243772342,3.04452243772342,"Cornwall 034B","Cornwall"
"PL101JD","PL10 1JD","PL",2.55722731136763,2.88480071284671,2.31253542384721,0.741937344729377,0.78845736036427,0.693147180559945,4.35670882668959,1.79175946922805,1.79175946922805,"Cornwall 034B","Cornwall"
"PL101JF","PL10 1JF","PL",3.65325227647079,4.39321382406445,0.587786664902119,2.42480272571829,3.04452243772342,0.336472236621213,3.66356164612965,3.93182563272433,3.93182563272433,"Cornwall 034B","Cornwall"
"PL101JG","PL10 1JG","PL",3.27714473299218,4.39321382406445,1.28093384546206,2.02814824729229,3.04452243772342,0.336472236621213,3.63758615972639,3.98898404656427,3.98898404656427,"Cornwall 034B","Cornwall"
"PL101JH","PL10 1JH","PL",2.70136121295141,3.32143241319329,1.48160454092422,0.832909122935104,1.48160454092422,0.182321556793955,5.04342511691925,3.13549421592915,3.13549421592915,"Cornwall 034B","Cornwall"
"PL101JJ","PL10 1JJ","PL",2.91777073208428,3.92986292355648,1.58923520511658,1.41098697371026,2.37024374146786,0.336472236621213,4.07753744390572,2.07944154167984,2.07944154167984,"Cornwall 034B","Cornwall"
"PL101JN","PL10 1JN","PL",2.73436750941958,3.92197333628131,0.587786664902119,1.56861591791385,2.75366071235426,0.336472236621213,4.55387689160054,3.25809653802148,3.25809653802148,"Cornwall 034B","Cornwall"
"PL101JP","PL10 1JP","PL",2.92316158071916,4.02356438016105,0.693147180559945,1.52605630349505,2.3887627892351,0.336472236621213,4.27666611901606,3.55534806148941,3.55534806148941,"Cornwall 034B","Cornwall"
"PL101JR","PL10 1JR","PL",3.06805293513362,4.16976120150686,1.85629799036563,1.91692261218206,3.04452243772342,0.741937344729377,5.25227342804663,1.94591014905531,1.94591014905531,"Cornwall 034B","Cornwall"
"PL101JS","PL10 1JS","PL",1.80828877117927,2.86789890204411,0.470003629245736,1.02961941718116,1.77495235091167,0.587786664902119,4.02535169073515,2.07944154167984,2.07944154167984,"Cornwall 034B","Cornwall"
"PL101JT","PL10 1JT","PL",2.66025953726586,3.71357206670431,0.832909122935104,1.48160454092422,2.39789527279837,0.336472236621213,4.72738781871234,2.83321334405622,2.83321334405622,"Cornwall 034B","Cornwall"
"PL101JU","PL10 1JU","PL",2.97552956623647,3.60549784517489,1.3609765531356,1.62924053973028,2.31253542384721,0.53062825106217,4.56434819146784,2.83321334405622,2.83321334405622,"Cornwall 034B","Cornwall"
"PL101JW","PL10 1JW","PL",3.28091121578765,4.30541553230204,1.38629436111989,1.87180217690159,3.04452243772342,0.336472236621213,3.98898404656427,3.2188758248682,3.2188758248682,"Cornwall 034B","Cornwall"
"PL101JX","PL10 1JX","PL",2.7408400239252,3.44680789291421,0.262364264467491,1.16315080980568,2.10413415427021,0.262364264467491,4.78749174278205,2.70805020110221,2.70805020110221,"Cornwall 034B","Cornwall"
"PL101LE","PL10 1LE","PL",3.10009228887823,3.53514535417189,1.68639895357023,1.48160454092422,1.94591014905531,0.405465108108164,4.99043258677874,2.30258509299405,2.30258509299405,"Cornwall 034B","Cornwall"
"PL101LG","PL10 1LG","PL",2.36085400111802,3.52046080248897,0.262364264467491,1.28093384546206,2.39789527279837,0.336472236621213,5.52545293913178,1.79175946922805,1.79175946922805,"Cornwall 034B","Cornwall"
"PL101LH","PL10 1LH","PL",1.66770682055808,2.01490302054226,1.1314021114911,0.587786664902119,0.641853886172395,0.336472236621213,5.51342874616498,2.07944154167984,2.07944154167984,"Cornwall 034B","Cornwall"
"PL101LL","PL10 1LL","PL",1.38629436111989,1.7227665977411,0.832909122935104,0.470003629245736,0.641853886172395,0.336472236621213,4.97673374242057,1.79175946922805,1.79175946922805,"Cornwall 034B","Cornwall"
"PL101LN","PL10 1LN","PL",2.63905732961526,3.23474917402449,1.02961941718116,0.955511445027436,2.09186406167839,0.336472236621213,4.27666611901606,2.30258509299405,2.30258509299405,"Cornwall 034B","Cornwall"
"PL101LR","PL10 1LR","PL",3.51452606696916,4.3267781604434,2.50143595173921,2.19722457733622,3.04452243772342,0.641853886172395,5.73334127689775,2.484906649788,2.484906649788,"Cornwall 034B","Cornwall"
"PL101NA","PL10 1NA","PL",3.40452517175483,4.35799005684564,1.41098697371026,2.17475172148416,3.04452243772342,0.336472236621213,4.7361984483945,3.58351893845611,3.58351893845611,"Cornwall 034B","Cornwall"
"PL101NB","PL10 1NB","PL",3.74004774068834,4.39444915467244,1.58923520511658,2.41591377830105,3.04452243772342,0.405465108108164,4.87519732320115,2.70805020110221,2.70805020110221,"Cornwall 034B","Cornwall"
"PL101ND","PL10 1ND","PL",3.28840188751681,4.33859707674655,0.405465108108164,1.91692261218206,3.04452243772342,0.182321556793955,4.63472898822964,2.56494935746154,2.56494935746154,"Cornwall 034B","Cornwall"
"PL101NE","PL10 1NE","PL",3.78872478908365,4.31615389052317,1.7227665977411,2.50959926237837,3.04452243772342,0.587786664902119,4.43081679884331,2.77258872223978,2.77258872223978,"Cornwall 034B","Cornwall"
"PL101NF","PL10 1NF","PL",3.84374416467485,4.30945594183905,1.87180217690159,2.56494935746154,3.04452243772342,0.336472236621213,4.21950770517611,3.17805383034795,3.17805383034795,"Cornwall 034B","Cornwall"
"PL101NG","PL10 1NG","PL",3.96271611974366,4.33204826486764,2.32238772029023,2.70805020110221,3.04452243772342,0.832909122935104,4.02535169073515,1.79175946922805,1.79175946922805,"Cornwall 034B","Cornwall"
"PL101NH","PL10 1NH","PL",3.94352167248752,4.24563400976833,3.5918177412708,2.61006979274201,3.04452243772342,1.09861228866811,4.89783979995091,2.56494935746154,2.56494935746154,"Cornwall 034B","Cornwall"
"PL101NJ","PL10 1NJ","PL",3.8286413964891,4.32148013480585,1.1314021114911,2.63188884013665,3.04452243772342,0.336472236621213,4.18965474202643,2.484906649788,2.484906649788,"Cornwall 034B","Cornwall"
"PL101NL","PL10 1NL","PL",2.33214389523559,2.42480272571829,2.21920348405499,0.741937344729377,0.78845736036427,0.693147180559945,3.04452243772342,1.94591014905531,1.94591014905531,"Cornwall 034B","Cornwall"
"PL101NN","PL10 1NN","PL",3.46573590279973,4.14472076954717,1.28093384546206,2.16332302566054,3.04452243772342,0.693147180559945,3.98898404656427,1.94591014905531,1.94591014905531,"Cornwall 034B","Cornwall"
"PL101NP","PL10 1NP","PL",3.55248682920838,4.39444915467244,2.09186406167839,2.21920348405499,3.04452243772342,0.741937344729377,4.58496747867057,2.77258872223978,2.77258872223978,"Cornwall 034B","Cornwall"
"PL101NU","PL10 1NU","PL",3.78872478908365,4.39444915467244,2.37024374146786,2.43361335540045,3.04452243772342,0.741937344729377,3.91202300542815,1.94591014905531,1.94591014905531,"Cornwall 034B","Cornwall"
"PL101NX","PL10 1NX","PL",2.9704144655697,3.71357206670431,1.80828877117927,1.94591014905531,2.77258872223978,0.641853886172395,5.67675380226828,2.56494935746154,2.56494935746154,"Cornwall 034B","Cornwall"
"PL101NY","PL10 1NY","PL",3.25424296870549,3.75185425327532,1.96009478404727,2.11625551480255,2.99573227355399,0.470003629245736,5.22035582507832,3.68887945411394,3.68887945411394,"Cornwall 034B","Cornwall"
"PL101NZ","PL10 1NZ","PL",3.33932197794407,4.39444915467244,1.09861228866811,2.10413415427021,3.04452243772342,0.693147180559945,5.56452040732269,3.49650756146648,3.49650756146648,"Cornwall 034B","Cornwall"
"PL101PA","PL10 1PA","PL",3.51452606696916,4.22244456484942,1.79175946922805,2.21920348405499,3.04452243772342,0.587786664902119,4.23410650459726,3.04452243772342,3.04452243772342,"Cornwall 034B","Cornwall"
"PL101PB","PL10 1PB","PL",3.16547504814109,3.71357206670431,1.58923520511658,1.3609765531356,2.00148000021012,0.336472236621213,4.0943445622221,2.30258509299405,2.30258509299405,"Cornwall 034B","Cornwall"
"PL101PD","PL10 1PD","PL",3.10458667846607,4.01096295328305,0.916290731874155,1.77495235091167,3.04452243772342,0.336472236621213,4.53259949315326,4.18965474202643,4.18965474202643,"Cornwall 034B","Cornwall"
"PL101PE","PL10 1PE","PL",2.29253475714054,2.94443897916644,1.28093384546206,0.641853886172395,1.19392246847243,0.336472236621213,4.04305126783455,2.70805020110221,2.70805020110221,"Cornwall 034B","Cornwall"
"PL101PF","PL10 1PF","PL",2.66722820658195,2.94443897916644,1.77495235091167,1.41098697371026,2.04122032885964,0.693147180559945,4.79579054559674,2.30258509299405,2.30258509299405,"Cornwall 034B","Cornwall"
"PL101PH","PL10 1PH","PL",2.55722731136763,3.08190996979504,1.96009478404727,1.16315080980568,1.7227665977411,0.587786664902119,4.7361984483945,2.07944154167984,2.07944154167984,"Cornwall 034B","Cornwall"
"PL101PL","PL10 1PL","PL",3.32143241319329,3.92395157629342,1.48160454092422,1.80828877117927,2.39789527279837,0.470003629245736,4.77068462446567,3.43398720448515,3.43398720448515,"Cornwall 034B","Cornwall"
"PL101PN","PL10 1PN","PL",2.74727091425549,3.11794990627824,1.45861502269952,1.16315080980568,1.54756250871601,0.336472236621213,5.71042701737487,2.30258509299405,2.30258509299405,"Cornwall 034B","Cornwall"
"PL101PQ","PL10 1PQ","PL",2.52572864430826,3.08648663682246,1.30833281965018,1.1314021114911,1.7404661748405,0.336472236621213,4.26267987704132,3.46573590279973,3.46573590279973,"Cornwall 034B","Cornwall"
"PL101PR","PL10 1PR","PL",2.74727091425549,3.43398720448515,2.00148000021012,0.916290731874155,1.90210752639692,0.470003629245736,5.27299955856375,3.36729582998647,3.36729582998647,"Cornwall 034A","Cornwall"
"PL101PT","PL10 1PT","PL",2.51769647261099,2.79116510781272,2.05412373369555,0.741937344729377,0.832909122935104,0.336472236621213,5.09375020080676,2.56494935746154,2.56494935746154,"Cornwall 034A","Cornwall"
"PL101PW","PL10 1PW","PL",3.45631668088323,3.71357206670431,3.01553490085017,2.21920348405499,2.39789527279837,1.98787434815435,4.969813299576,2.484906649788,2.484906649788,"Cornwall 034B","Cornwall"
"PL101QA","PL10 1QA","PL",2.67414864942653,2.91235066461494,2.27212588550934,0.741937344729377,0.78845736036427,0.693147180559945,4.18965474202643,2.484906649788,2.484906649788,"Cornwall 034A","Cornwall"
"PL101QB","PL10 1QB","PL",2.70805020110221,2.94968833505258,2.34180580614733,0.641853886172395,0.78845736036427,0.336472236621213,3.85014760171006,2.83321334405622,2.83321334405622,"Cornwall 034A","Cornwall"
"PL101QE","PL10 1QE","PL",2.94968833505258,3.08190996979504,2.85647020622048,0.641853886172395,0.78845736036427,0.336472236621213,4.33073334028633,2.39789527279837,2.39789527279837,"Cornwall 034A","Cornwall"
"PL101QG","PL10 1QG","PL",2.72785282839839,2.94443897916644,2.31253542384721,0.741937344729377,0.832909122935104,0.587786664902119,5.63835466933375,2.19722457733622,2.19722457733622,"Cornwall 034A","Cornwall"
"PL101QH","PL10 1QH","PL",2.4932054526027,2.84490938381941,2.2082744135228,0.693147180559945,0.78845736036427,0.336472236621213,3.66356164612965,2.70805020110221,2.70805020110221,"Cornwall 034A","Cornwall"
"PL101QJ","PL10 1QJ","PL",2.34180580614733,2.45958884180371,2.17475172148416,0.741937344729377,0.741937344729377,0.741937344729377,5.2257466737132,2.19722457733622,2.19722457733622,"Cornwall 034A","Cornwall"
"PL101QQ","PL10 1QQ","PL",2.76631910922619,2.88480071284671,2.53369681395743,0.741937344729377,0.78845736036427,0.470003629245736,5.26269018890489,2.56494935746154,2.56494935746154,"Cornwall 034A","Cornwall"
"PL101RT","PL10 1RT","PL",3.07731226054641,4.12066187053947,2.39789527279837,1.28093384546206,2.86789890204411,0.53062825106217,4.48863636973214,2.484906649788,2.484906649788,"Cornwall 034A","Cornwall"
"PL112AA","PL11 2AA","PL",3.58351893845611,4.27388447605418,2.91777073208428,2.09186406167839,3.04452243772342,0.693147180559945,5.36129216570943,3.2188758248682,3.2188758248682,"Cornwall 029A","Cornwall"
"PL112AB","PL11 2AB","PL",3.53514535417189,4.39444915467244,1.7227665977411,1.94591014905531,3.04452243772342,0.262364264467491,5.12396397940326,3.17805383034795,3.17805383034795,"Cornwall 029A","Cornwall"
"PL112AD","PL11 2AD","PL",3.54673968695281,4.39444915467244,2.2082744135228,1.97408102602201,3.04452243772342,0.405465108108164,5.36597601502185,2.99573227355399,2.99573227355399,"Cornwall 029A","Cornwall"
"PL112AG","PL11 2AG","PL",3.39450839351136,4.39444915467244,2.15176220325946,1.90210752639692,3.04452243772342,0.470003629245736,4.7361984483945,1.79175946922805,1.79175946922805,"Cornwall 029A","Cornwall"
"PL112AL","PL11 2AL","PL",3.48124008933569,3.71357206670431,3.04452243772342,2.00148000021012,2.39789527279837,0.78845736036427,5.79301360838414,2.39789527279837,2.39789527279837,"Cornwall 029A","Cornwall"
"PL112AN","PL11 2AN","PL",3.70622809244855,4.39444915467244,2.85647020622048,2.14006616349627,3.04452243772342,0.741937344729377,6.26909628370626,2.19722457733622,2.19722457733622,"Cornwall 029A","Cornwall"
"PL112AR","PL11 2AR","PL",3.49347265777133,4.39444915467244,2.96527306606928,1.84054963339749,3.04452243772342,0.741937344729377,5.74939298590825,2.30258509299405,2.30258509299405,"Cornwall 029A","Cornwall"
"PL112AS","PL11 2AS","PL",3.57234563785798,4.38452351487247,2.72785282839839,2.06686275947298,3.04452243772342,0.336472236621213,5.8171111599632,2.30258509299405,2.30258509299405,"Cornwall 029A","Cornwall"
"PL112AT","PL11 2AT","PL",3.01553490085017,3.71357206670431,0.693147180559945,1.56861591791385,2.39789527279837,0.182321556793955,4.76217393479776,2.07944154167984,2.07944154167984,"Cornwall 029A","Cornwall"
"PL112BB","PL11 2BB","PL",3.57515068878559,4.0342406381524,2.58776403522771,2.04122032885964,2.39789527279837,0.693147180559945,5.2040066870768,2.30258509299405,2.30258509299405,"Cornwall 029A","Cornwall"
"PL112BD","PL11 2BD","PL",3.44361809754611,4.15731936138349,2.52572864430826,1.96009478404727,3.04452243772342,0.587786664902119,6.29156913955832,3.04452243772342,3.04452243772342,"Cornwall 029A","Cornwall"
"PL112BE","PL11 2BE","PL",3.42751468997953,4.13995507347415,2.63188884013665,1.90210752639692,2.80336038090653,0.741937344729377,5.66642668811243,2.484906649788,2.484906649788,"Cornwall 029A","Cornwall"
"PL112BG","PL11 2BG","PL",2.86789890204411,3.02042488614436,2.61739583283408,0.693147180559945,0.78845736036427,0.336472236621213,4.49980967033027,2.07944154167984,2.07944154167984,"Cornwall 029B","Cornwall"
"PL112BH","PL11 2BH","PL",3.8264651170665,4.33204826486764,2.96527306606928,2.50959926237837,3.04452243772342,0.587786664902119,4.87519732320115,2.63905732961526,2.63905732961526,"Cornwall 029B","Cornwall"
"PL112BL","PL11 2BL","PL",3.54095932403731,4.29864502573483,2.4932054526027,2.09186406167839,3.04452243772342,0.641853886172395,4.56434819146784,2.70805020110221,2.70805020110221,"Cornwall 029B","Cornwall"
"PL112BN","PL11 2BN","PL",3.2846635654062,3.74714836223791,2.4423470353692,1.45861502269952,2.39789527279837,0.470003629245736,4.58496747867057,3.98898404656427,3.98898404656427,"Cornwall 029C","Cornwall"
"PL112BP","PL11 2BP","PL",3.65842024662923,4.10758978897212,2.91777073208428,2.16332302566054,2.63905732961526,0.78845736036427,5.90536184805457,2.56494935746154,2.56494935746154,"Cornwall 029A","Cornwall"
"PL112BQ","PL11 2BQ","PL",3.58905911883173,4.3528552573736,2.83321334405622,1.96009478404727,2.96010509591084,0.693147180559945,5.44673737166631,2.19722457733622,2.19722457733622,"Cornwall 029B","Cornwall"
"PL112BU","PL11 2BU","PL",3.61899332664977,4.39444915467244,2.34180580614733,2.02814824729229,3.04452243772342,0.641853886172395,5.71702770140622,3.97029191355212,3.97029191355212,"Cornwall 029A","Cornwall"
"PL112BZ","PL11 2BZ","PL",3.3499040872746,3.80666248977032,1.58923520511658,1.3609765531356,2.18605127673809,0.470003629245736,5.5834963087817,3.09104245335832,3.09104245335832,"Cornwall 034E","Cornwall"
"PL112DB","PL11 2DB","PL",3.31054301339402,4.02356438016105,2.58776403522771,1.50407739677627,2.32238772029023,0.587786664902119,6.07764224334903,2.70805020110221,2.70805020110221,"Cornwall 029D","Cornwall"
"PL112DE","PL11 2DE","PL",3.50855589998265,4.39444915467244,2.75366071235426,2.28238238567653,3.04452243772342,0.641853886172395,5.4553211153577,3.13549421592915,3.13549421592915,"Cornwall 029B","Cornwall"
"PL112DF","PL11 2DF","PL",3.42426265459315,4.39444915467244,2.19722457733622,1.88706964903238,3.04452243772342,0.405465108108164,6.13556489108174,2.63905732961526,2.63905732961526,"Cornwall 029B","Cornwall"
"PL112DG","PL11 2DG","PL",3.52046080248897,4.39444915467244,2.79728133483015,1.91692261218206,3.04452243772342,0.641853886172395,5.69035945432406,2.89037175789616,2.89037175789616,"Cornwall 029B","Cornwall"
"PL112DH","PL11 2DH","PL",3.57794789340665,4.39444915467244,2.2082744135228,2.07944154167984,3.04452243772342,0.336472236621213,5.71702770140622,3.29583686600433,3.29583686600433,"Cornwall 029B","Cornwall"
"PL112DJ","PL11 2DJ","PL",3.75653810258775,4.39444915467244,2.95491027903374,2.32238772029023,3.04452243772342,0.693147180559945,5.25227342804663,3.04452243772342,3.04452243772342,"Cornwall 029B","Cornwall"
"PL112DL","PL11 2DL","PL",3.32143241319329,4.39444915467244,1.97408102602201,1.68639895357023,3.04452243772342,0.470003629245736,5.4971682252932,2.63905732961526,2.63905732961526,"Cornwall 029B","Cornwall"
"PL112DN","PL11 2DN","PL",3.63758615972639,4.39321382406445,2.37024374146786,2.19722457733622,3.04452243772342,0.53062825106217,5.70711026474888,3.87120101090789,3.87120101090789,"Cornwall 029D","Cornwall"
"PL112DP","PL11 2DP","PL",3.4904285153901,3.91002100275747,1.16315080980568,1.68639895357023,2.39789527279837,0.336472236621213,5.40267738187228,2.94443897916644,2.94443897916644,"Cornwall 034E","Cornwall"
"PL112DQ","PL11 2DQ","PL",3.83514196109219,4.39444915467244,2.4423470353692,2.45958884180371,3.04452243772342,0.693147180559945,4.49980967033027,2.70805020110221,2.70805020110221,"Cornwall 029B","Cornwall"
